Day,Time,Service(s),Money,Tip,Take Home,Location,Date,Day of the Week
Monday 9th June,13:30,None,0,,0,Marchmont,09/06/2025,Monday
Monday 9th June,14:30,Student,22,,13.2,Marchmont,09/06/2025,Monday
Monday 9th June,15:30,None,0,,0,Marchmont,09/06/2025,Monday
Monday 9th June,16:00,OAP/Clipper,18,,10.8,Marchmont,09/06/2025,Monday
Monday 9th June,17:30,None,0,,0,Marchmont,09/06/2025,Monday
Tuesday 10th June,09:00,Gents,24,,14.4,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,09:45,OAP/Clipper,18,,10.8,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,10:15,OAP/Clipper,18,,10.8,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,11:30,High School,19,,11.4,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,12:15,Student,22,,13.2,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,13:15,None,0,,0,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,14:00,Gents,24,,14.4,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,15:00,Gents + Beard Trim,34,,20.4,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,16:30,Student,22,,13.2,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,17:00,Gents,24,,14.4,Marchmont,10/06/2025,Tuesday
Tuesday 10th June,17:30,Gents,24,,14.4,Marchmont,10/06/2025,Tuesday
Saturday 14th June,08:30,Gents,24,,14.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,09:00,Gents,24,,14.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,09:30,Gents,24,,14.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,10:00,OAP/Clipper,18,,10.8,Marchmont,14/06/2025,Saturday
Saturday 14th June,10:30,Kids,16,,9.6,Marchmont,14/06/2025,Saturday
Saturday 14th June,11:00,High School,19,,11.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,12:00,Gents,24,,14.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,12:30,Gents + Beard Trim,34,,20.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,13:30,Gents,24,,14.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,14:00,High School,19,,11.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,15:00,Gents,24,,14.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,15:30,Gents,24,,14.4,Marchmont,14/06/2025,Saturday
Saturday 14th June,16:00,High School,19,,11.4,Marchmont,14/06/2025,Saturday
Monday 16th June,13:15,None,0,,0,Marchmont,16/06/2025,Monday
Monday 16th June,14:15,Student,22,,13.2,Marchmont,16/06/2025,Monday
Monday 16th June,15:45,Gents,24,,14.4,Marchmont,16/06/2025,Monday
Monday 16th June,16:30,OAP/Clipper + Beard Trim,28,,16.8,Marchmont,16/06/2025,Monday
Monday 16th June,17:15,None,0,,0,Marchmont,16/06/2025,Monday
Tuesday 17th June,09:30,Gents,24,,14.4,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,10:15,Gents,24,,14.4,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,10:45,OAP/Clipper,18,,10.8,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,11:30,OAP/Clipper,18,,10.8,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,12:30,None,0,,0,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,13:00,Gents,24,,14.4,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,14:00,Gents,24,,14.4,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,14:30,Student,22,,13.2,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,15:30,High School,19,,11.4,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,16:00,High School,19,,11.4,Marchmont,17/06/2025,Tuesday
Tuesday 17th June,17:00,Gents,24,,14.4,Marchmont,17/06/2025,Tuesday
Tuesday 24th June,09:00,None,0,,0,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,10:00,OAP/Clipper,18,,10.8,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,11:00,Gents,24,,14.4,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,12:00,Student,22,,13.2,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,12:30,Gents,24,,14.4,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,13:30,None,0,,0,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,14:00,OAP/Clipper,18,,10.8,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,15:00,Gents,24,,14.4,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,16:30,Student,22,,13.2,Marchmont,24/06/2025,Tuesday
Tuesday 24th June,17:30,None,0,,0,Marchmont,24/06/2025,Tuesday
Wednesday 25th June,13:30,Gents,24,,14.4,Marchmont,25/06/2025,Wednesday
Wednesday 25th June,14:00,Gents,24,,14.4,Marchmont,25/06/2025,Wednesday
Wednesday 25th June,15:00,Gents,24,,14.4,Marchmont,25/06/2025,Wednesday
Wednesday 25th June,15:30,Gents,24,,14.4,Marchmont,25/06/2025,Wednesday
Wednesday 25th June,16:30,None,0,,0,Marchmont,25/06/2025,Wednesday
Wednesday 25th June,17:00,Gents,24,,14.4,Marchmont,25/06/2025,Wednesday
Saturday 28th June,08:30,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,09:00,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,09:30,Gents + Beard Trim,34,,20.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,10:30,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,11:00,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,12:00,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,12:30,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,13:00,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,14:00,OAP/Clipper,18,,10.8,Marchmont,28/06/2025,Saturday
Saturday 28th June,14:30,OAP/Clipper,18,,10.8,Marchmont,28/06/2025,Saturday
Saturday 28th June,15:30,Gents,24,,14.4,Marchmont,28/06/2025,Saturday
Saturday 28th June,16:00,Kids,16,,9.6,Marchmont,28/06/2025,Saturday
Monday 30th June,13:00,None,0,,0,Marchmont,30/06/2025,Monday
Monday 30th June,14:00,Gents,24,,14.4,Marchmont,30/06/2025,Monday
Monday 30th June,15:00,Gents,24,,14.4,Marchmont,30/06/2025,Monday
Monday 30th June,15:30,OAP/Clipper,18,,10.8,Marchmont,30/06/2025,Monday
Monday 30th June,16:00,None,0,,0,Marchmont,30/06/2025,Monday
Monday 30th June,17:00,Student,22,,13.2,Marchmont,30/06/2025,Monday
Tuesday 1st July,09:00,Gents,24,,14.4,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,09:30,OAP/Clipper,18,,10.8,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,10:15,Student,22,,13.2,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,10:45,Gents,24,,14.4,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,11:45,None,0,,0,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,12:00,OAP/Clipper,18,,10.8,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,12:30,High School,19,,11.4,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,13:30,Gents,24,,14.4,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,14:00,Gents,24,,14.4,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,14:30,OAP/Clipper,18,,10.8,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,15:45,None,0,,0,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,16:00,Student,22,,13.2,Marchmont,01/07/2025,Tuesday
Tuesday 1st July,17:00,Gents,24,,14.4,Marchmont,01/07/2025,Tuesday
Tuesday 8th July,09:30,Gents,24,,14.4,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,10:30,Gents,24,,14.4,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,11:00,Gents,24,,14.4,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,12:00,Student,22,,13.2,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,12:45,Gents,24,,14.4,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,13:15,Student,22,,13.2,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,14:15,Student,22,,13.2,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,15:00,Student,22,,13.2,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,15:30,Gents,24,,14.4,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,16:15,Gents + Beard Trim,34,,20.4,Marchmont,08/07/2025,Tuesday
Tuesday 8th July,17:00,Gents,24,,14.4,Marchmont,08/07/2025,Tuesday
Saturday 12th July,08:00,None,0,,0,Marchmont,12/07/2025,Saturday
Saturday 12th July,09:00,Kids,16,,9.6,Marchmont,12/07/2025,Saturday
Saturday 12th July,09:30,Gents,24,,14.4,Marchmont,12/07/2025,Saturday
Saturday 12th July,10:30,Gents,24,,14.4,Marchmont,12/07/2025,Saturday
Saturday 12th July,11:00,None,0,,0,Marchmont,12/07/2025,Saturday
Saturday 12th July,12:00,Kids,16,,9.6,Marchmont,12/07/2025,Saturday
Saturday 12th July,13:00,Gents,24,,14.4,Marchmont,12/07/2025,Saturday
Saturday 12th July,14:30,Gents,24,,14.4,Marchmont,12/07/2025,Saturday
Saturday 12th July,15:30,Gents,24,,14.4,Marchmont,12/07/2025,Saturday
Saturday 12th July,16:00,None,0,,0,Marchmont,12/07/2025,Saturday
Tuesday 15th July,09:00,OAP,18,2,12.8,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,10:00,Gents,24,,14.4,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,11:15,Gents,24,,14.4,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,12:10,Clipper,18,2,12.8,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,12:30,Gents,24,,14.4,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,13:00,Student,22,,13.2,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,13:45,Gents,24,3,17.4,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,14:30,OAP,18,1,11.8,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,15:00,None,0,,0,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,16:20,Kids,16,,9.6,Marchmont,15/07/2025,Tuesday
Tuesday 15th July,17:30,Gents,24,,14.4,Marchmont,15/07/2025,Tuesday
Monday 21st July,09:00,Gents,24,,14.4,Marchmont,21/07/2025,Monday
Monday 21st July,10:00,None,0,,0,Marchmont,21/07/2025,Monday
Monday 21st July,11:25,Student,22,,13.2,Marchmont,21/07/2025,Monday
Monday 21st July,11:50,OAP,18,,10.8,Marchmont,21/07/2025,Monday
Monday 21st July,12:00,None,0,,0,Marchmont,21/07/2025,Monday
Monday 21st July,13:00,None,0,,0,Marchmont,21/07/2025,Monday
Monday 21st July,14:00,None,0,,0,Marchmont,21/07/2025,Monday
Monday 21st July,15:30,Gents + Beard Trim,34,,20.4,Marchmont,21/07/2025,Monday
Monday 21st July,16:00,Gents,24,,14.4,Marchmont,21/07/2025,Monday
Monday 21st July,16:30,Gents,24,,14.4,Marchmont,21/07/2025,Monday
Monday 21st July,17:00,Clipper,18,1,11.8,Marchmont,21/07/2025,Monday
Monday 21st July,17:10,Kids,16,,9.6,Marchmont,21/07/2025,Monday
Monday 21st July,17:30,Kids,16,4,13.6,Marchmont,21/07/2025,Monday
Tuesday 22nd July,09:15,Gents,24,,14.4,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,10:00,Gents,24,,14.4,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,10:45,OAP,18,,10.8,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,11:45,OAP,18,2,12.8,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,12:30,Beard Trim,10,,6,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,13:20,Student,22,,13.2,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,13:55,Student,22,,13.2,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,14:55,None,0,,0,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,15:15,Gents,24,2,16.4,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,16:00,Gents,24,,14.4,Marchmont,22/07/2025,Tuesday
Tuesday 22nd July,17:15,Student,22,,13.2,Marchmont,22/07/2025,Tuesday
Friday 25th July,09:30,Gents,24,,14.4,Marchmont,25/07/2025,Friday
Friday 25th July,10:15,Gents + Beard Trim,34,,20.4,Marchmont,25/07/2025,Friday
Friday 25th July,10:45,Gents,24,,14.4,Marchmont,25/07/2025,Friday
Friday 25th July,11:10,Gents,24,,14.4,Marchmont,25/07/2025,Friday
Friday 25th July,11:40,Gents,24,1,15.4,Marchmont,25/07/2025,Friday
Friday 25th July,12:15,Gents,24,,14.4,Marchmont,25/07/2025,Friday
Friday 25th July,12:45,Gents,24,,14.4,Marchmont,25/07/2025,Friday
Friday 25th July,13:15,Gents,24,,14.4,Marchmont,25/07/2025,Friday
Friday 25th July,14:30,High School,19,,11.4,Marchmont,25/07/2025,Friday
Friday 25th July,15:00,High School,19,1,12.4,Marchmont,25/07/2025,Friday
Friday 25th July,15:30,High School,19,,11.4,Marchmont,25/07/2025,Friday
Friday 25th July,16:30,None,0,,0,Marchmont,25/07/2025,Friday
Friday 25th July,17:00,Gents,24,,14.4,Marchmont,25/07/2025,Friday
Saturday 26th July,08:00,None,0,,0,Marchmont,26/07/2025,Saturday
Saturday 26th July,09:00,Gents + Beard Trim,34,,20.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,09:30,Gents,24,1,15.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,10:00,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,10:20,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,10:40,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,11:10,OAP,18,2,12.8,Marchmont,26/07/2025,Saturday
Saturday 26th July,12:40,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,13:00,None,0,,0,Marchmont,26/07/2025,Saturday
Saturday 26th July,14:00,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,14:30,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,15:00,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Saturday 26th July,15:30,Kids,16,,9.6,Marchmont,26/07/2025,Saturday
Saturday 26th July,16:00,Gents,24,,14.4,Marchmont,26/07/2025,Saturday
Tuesday 29th July,09:00,Gents,24,,14.4,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,10:00,Kids,16,2,11.6,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,11:15,Gents,24,,14.4,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,12:45,Gents,24,,14.4,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,13:45,None,0,,0,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,14:15,Gents + Beard Trim,34,5,25.4,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,15:00,Gents,24,,14.4,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,16:20,Gents,24,,14.4,Marchmont,29/07/2025,Tuesday
Tuesday 29th July,17:30,Gents,24,,14.4,Marchmont,29/07/2025,Tuesday
Wednesday 6th August,09:00,None,0,,0,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,10:00,Gents,24,,14.4,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,10:30,Student,22,,13.2,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,11:15,Student,22,,13.2,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,12:00,Gents,24,1,15.4,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,13:00,High School,19,,11.4,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,14:00,OAP,18,,10.8,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,14:45,OAP,18,,10.8,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,15:20,Student,22,,13.2,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,15:50,OAP,18,,10.8,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,16:00,None,0,,0,Marchmont,06/08/2025,Wednesday
Wednesday 6th August,17:15,Gents,24,,14.4,Marchmont,06/08/2025,Wednesday
Thursday 7th August,13:00,None,0,,0,Marchmont,07/08/2025,Thursday
Thursday 7th August,14:00,None,0,,0,Marchmont,07/08/2025,Thursday
Thursday 7th August,15:00,Gents,24,1,15.4,Marchmont,07/08/2025,Thursday
Thursday 7th August,16:45,Gents,24,1,15.4,Marchmont,07/08/2025,Thursday
Thursday 7th August,17:00,None,0,,0,Marchmont,07/08/2025,Thursday
Friday 8th August,09:00,Gents,24,,14.4,Marchmont,08/08/2025,Friday
Friday 8th August,09:30,High School,19,,11.4,Marchmont,08/08/2025,Friday
Friday 8th August,10:30,Gents,24,,14.4,Marchmont,08/08/2025,Friday
Friday 8th August,11:00,Gents,24,,14.4,Marchmont,08/08/2025,Friday
Friday 8th August,12:00,High School,19,,11.4,Marchmont,08/08/2025,Friday
Friday 8th August,12:30,Friend,15,,9,Marchmont,08/08/2025,Friday
Friday 8th August,13:30,Student,22,,13.2,Marchmont,08/08/2025,Friday
Friday 8th August,14:00,High School,19,,11.4,Marchmont,08/08/2025,Friday
Friday 8th August,14:30,Gents,24,,14.4,Marchmont,08/08/2025,Friday
Friday 8th August,15:00,Gents,24,,14.4,Marchmont,08/08/2025,Friday
Friday 8th August,16:00,Kids,16,4,13.6,Marchmont,08/08/2025,Friday
Friday 8th August,16:45,Gents,24,,14.4,Marchmont,08/08/2025,Friday
Friday 8th August,17:45,None,0,,0,Marchmont,08/08/2025,Friday
Saturday 9th August,08:45,Gents,24,2,16.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,09:20,High School,19,,11.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,10:00,Gents,24,,14.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,10:45,Gents,24,,14.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,11:15,High School,19,,11.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,12:00,Gents,24,4,18.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,13:00,Gents,24,,14.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,13:30,Gents,24,,14.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,14:00,High School,19,,11.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,14:30,Gents,24,,14.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,15:00,Gents,24,1,15.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,15:30,Kids,16,,9.6,Marchmont,09/08/2025,Saturday
Saturday 9th August,16:00,Gents,24,,14.4,Marchmont,09/08/2025,Saturday
Saturday 9th August,16:30,Gents,24,1,15.4,Marchmont,09/08/2025,Saturday
Monday 11th August,09:50,Kids,16,,9.6,Marchmont,11/08/2025,Monday
Monday 11th August,10:20,OAP,18,2,12.8,Marchmont,11/08/2025,Monday
Monday 11th August,10:40,Kids,16,,9.6,Marchmont,11/08/2025,Monday
Monday 11th August,11:20,OAP,18,2,12.8,Marchmont,11/08/2025,Monday
Monday 11th August,12:30,Gents,24,,14.4,Marchmont,11/08/2025,Monday
Monday 11th August,13:30,Student,22,,13.2,Marchmont,11/08/2025,Monday
Monday 11th August,14:30,None,0,,0,Marchmont,11/08/2025,Monday
Monday 11th August,15:40,Gents,24,,14.4,Marchmont,11/08/2025,Monday
Monday 11th August,16:30,Clipper,18,,10.8,Marchmont,11/08/2025,Monday
Monday 11th August,16:45,Gents,24,,14.4,Marchmont,11/08/2025,Monday
Monday 11th August,17:15,Gents,24,,14.4,Marchmont,11/08/2025,Monday
Wednesday 13th August,09:45,Gents,24,6,20.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,10:15,Gents,24,,14.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,11:00,Gents,24,,14.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,11:45,Student,22,,13.2,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,12:15,Gents,24,3,17.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,12:45,Clipper + Beard Trim,28,,16.8,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,13:30,Gents,24,6,20.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,14:00,Student,22,,13.2,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,14:30,Gents,24,,14.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,15:00,Gents,24,,14.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,15:30,Gents,24,,14.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,16:00,Clipper,18,2,12.8,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,16:15,Gents,24,,14.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,16:45,Gents,24,,14.4,Marchmont,13/08/2025,Wednesday
Wednesday 13th August,17:15,High School,19,,11.4,Marchmont,13/08/2025,Wednesday
Saturday 16th August,08:30,Gents,24,,14.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,09:00,High School,19,,11.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,10:15,Gents,24,2,16.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,10:35,Gents,24,,14.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,11:00,Gents,24,,14.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,11:30,High School,19,,11.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,12:45,Gents,24,,14.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,13:45,None,0,,0,Marchmont,16/08/2025,Saturday
Saturday 16th August,14:00,Gents,24,,14.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,14:45,High School,19,,11.4,Marchmont,16/08/2025,Saturday
Saturday 16th August,15:45,None,0,,0,Marchmont,16/08/2025,Saturday
Saturday 16th August,16:45,None,0,,0,Marchmont,16/08/2025,Saturday
Monday 18th August,13:15,None,0,,0,Marchmont,18/08/2025,Monday
Monday 18th August,14:55,Gents + Beard Trim,34,,20.4,Marchmont,18/08/2025,Monday
Monday 18th August,15:15,None,0,,0,Marchmont,18/08/2025,Monday
Monday 18th August,16:15,Gents,24,,14.4,Marchmont,18/08/2025,Monday
Monday 18th August,17:00,High School,19,,11.4,Marchmont,18/08/2025,Monday
Wednesday 20th August,09:00,Gents,24,,14.4,Marchmont,20/08/2025,Wednesday
Wednesday 20th August,10:20,Gents,24,,14.4,Marchmont,20/08/2025,Wednesday
Wednesday 20th August,11:40,High School,19,,11.4,Marchmont,20/08/2025,Wednesday
Wednesday 20th August,12:50,OAP,18,2,12.8,Marchmont,20/08/2025,Wednesday
