Day,Time,Service(s),Money,Tip,Take Home,Location,Date,Day of the Week
Friday 5th September,16:30,Gents,25,,15,Tollcross,05/09/2025,Friday
Friday 5th September,17:30,Student,23,,13.8,Tollcross,05/09/2025,Friday
Saturday 6th September,08:30,Gents,24,,14.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,08:55,Gents,24,,14.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,09:30,Gents,24,,14.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,10:00,None,0,,0,Marchmont,06/09/2025,Saturday
Saturday 6th September,11:20,OAP + Beard Trim,28,,16.8,Marchmont,06/09/2025,Saturday
Saturday 6th September,12:15,Gents,24,,14.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,12:45,Kids,16,2,11.6,Marchmont,06/09/2025,Saturday
Saturday 6th September,13:20,Gents + Beard Trim,34,1,21.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,14:10,Gents,24,,14.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,15:00,Gents,24,,14.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,15:45,Gents,24,,14.4,Marchmont,06/09/2025,Saturday
Saturday 6th September,16:00,None,0,,0,Marchmont,06/09/2025,Saturday
Monday 8th September,09:30,Gents + Beard Trim,35,,21,Tollcross,08/09/2025,Monday
Monday 8th September,10:10,Clipper,18,2,12.8,Tollcross,08/09/2025,Monday
Monday 8th September,11:00,None,0,,0,Tollcross,08/09/2025,Monday
Monday 8th September,12:00,Gents,25,,15,Tollcross,08/09/2025,Monday
Monday 8th September,12:30,OAP,18,0.5,11.3,Tollcross,08/09/2025,Monday
Monday 8th September,13:00,Skin Fade,27,,16.2,Tollcross,08/09/2025,Monday
Monday 8th September,14:45,Student,23,,13.8,Tollcross,08/09/2025,Monday
Monday 8th September,15:30,High School,20,,12,Tollcross,08/09/2025,Monday
Monday 8th September,16:00,High School,20,,12,Tollcross,08/09/2025,Monday
Monday 8th September,16:45,Gents,25,,15,Tollcross,08/09/2025,Monday
Monday 8th September,17:20,Gents,25,,15,Tollcross,08/09/2025,Monday
Friday 12th September,09:00,Gents,24,1,15.4,Marchmont,12/09/2025,Friday
Friday 12th September,10:00,Gents,24,,14.4,Marchmont,12/09/2025,Friday
Friday 12th September,11:10,Gents,24,,14.4,Marchmont,12/09/2025,Friday
Friday 12th September,12:15,Gents,24,,14.4,Marchmont,12/09/2025,Friday
Friday 12th September,13:00,Gents,24,,14.4,Marchmont,12/09/2025,Friday
Friday 12th September,13:45,Gents,24,,14.4,Marchmont,12/09/2025,Friday
Friday 12th September,14:15,High School,20,,12,Marchmont,12/09/2025,Friday
Friday 12th September,15:00,Gents,24,,14.4,Marchmont,12/09/2025,Friday
Friday 12th September,16:00,Gents + Beard Trim,34,,20.4,Marchmont,12/09/2025,Friday
Friday 12th September,17:00,Kids,16,,9.6,Marchmont,12/09/2025,Friday
Friday 12th September,17:30,Gents,24,1,15.4,Marchmont,12/09/2025,Friday
Saturday 13th September,08:55,Gents,24,4,18.4,Marchmont,13/09/2025,Saturday
Saturday 13th September,09:30,Kids,16,,9.6,Marchmont,13/09/2025,Saturday
Saturday 13th September,10:00,Kids,16,,9.6,Marchmont,13/09/2025,Saturday
Saturday 13th September,10:30,Kids,16,,9.6,Marchmont,13/09/2025,Saturday
Saturday 13th September,11:00,Gents,24,,14.4,Marchmont,13/09/2025,Saturday
Saturday 13th September,11:30,Gents,24,,14.4,Marchmont,13/09/2025,Saturday
Saturday 13th September,12:45,High School,19,,11.4,Marchmont,13/09/2025,Saturday
Saturday 13th September,13:00,None,0,,0,Marchmont,13/09/2025,Saturday
Saturday 13th September,14:00,None,0,,0,Marchmont,13/09/2025,Saturday
Saturday 13th September,15:00,Kids,16,,9.6,Marchmont,13/09/2025,Saturday
Saturday 13th September,15:20,Gents,24,,14.4,Marchmont,13/09/2025,Saturday
Saturday 13th September,16:00,None,0,,0,Marchmont,13/09/2025,Saturday
Monday 15th September,12:45,Clipper,18,,10.8,Marchmont,15/09/2025,Monday
Monday 15th September,13:10,Kids,16,,9.6,Marchmont,15/09/2025,Monday
Monday 15th September,14:00,None,0,,0,Marchmont,15/09/2025,Monday
Monday 15th September,15:15,Gents,24,6,20.4,Marchmont,15/09/2025,Monday
Monday 15th September,16:05,Clipper,18,,10.8,Marchmont,15/09/2025,Monday
Monday 15th September,16:30,Student,22,,13.2,Marchmont,15/09/2025,Monday
Tuesday 16th September,09:00,None,0,,0,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,10:30,Skin Fade,27,,16.2,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,10:55,Beard Trim,12,,7.2,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,11:15,Gents,25,,15,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,11:40,Gents,25,2,17,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,12:15,Discount,15,,9,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,13:15,Student,23,,13.8,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,13:45,Student,23,,13.8,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,14:45,OAP,18,2,12.8,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,15:20,OAP,18,,10.8,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,15:45,Student,23,,13.8,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,16:30,Student Skin Fade,24.5,,14.7,Tollcross,16/09/2025,Tuesday
Tuesday 16th September,17:15,Gents,25,,15,Tollcross,16/09/2025,Tuesday
Wednesday 17th September,09:15,Beard Trim,10,,6,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,10:30,Discount,15,,9,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,10:50,Student,23,,13.8,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,11:30,Student,23,,13.8,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,12:15,Gents,25,,15,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,13:20,Gents,25,,15,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,14:10,Student,23,,13.8,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,14:45,Skin Fade,27,,16.2,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,15:15,Student,23,,13.8,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,16:15,Student,23,,13.8,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,16:55,Student,23,,13.8,Tollcross,17/09/2025,Wednesday
Wednesday 17th September,17:30,Gents,25,,15,Tollcross,17/09/2025,Wednesday
Thursday 18th September,12:45,Gents,25,,15,Tollcross,18/09/2025,Thursday
Thursday 18th September,13:15,Gents,25,,15,Tollcross,18/09/2025,Thursday
Thursday 18th September,14:25,Clipper + Beard Trim,30,,18,Tollcross,18/09/2025,Thursday
Thursday 18th September,15:15,Gents,25,3,18,Tollcross,18/09/2025,Thursday
Thursday 18th September,15:45,High School,20,,12,Tollcross,18/09/2025,Thursday
Thursday 18th September,16:10,High School,20,,12,Tollcross,18/09/2025,Thursday
Thursday 18th September,16:40,High School,20,,12,Tollcross,18/09/2025,Thursday
Thursday 18th September,17:30,Gents,25,,15,Tollcross,18/09/2025,Thursday
Friday 19th September,09:15,Gents,25,,15,Tollcross,19/09/2025,Friday
Friday 19th September,10:00,None,0,,0,Tollcross,19/09/2025,Friday
Friday 19th September,11:00,Gents,25,,15,Tollcross,19/09/2025,Friday
Friday 19th September,11:50,Student Skin Fade,24.5,,14.7,Tollcross,19/09/2025,Friday
Friday 19th September,12:15,Skin Fade,27,,16.2,Tollcross,19/09/2025,Friday
Friday 19th September,12:40,Clipper,18,,10.8,Tollcross,19/09/2025,Friday
Friday 19th September,13:00,Gents,25,,15,Tollcross,19/09/2025,Friday
Friday 19th September,13:20,Gents,25,,15,Tollcross,19/09/2025,Friday
Friday 19th September,14:00,Gents,25,,15,Tollcross,19/09/2025,Friday
Friday 19th September,14:50,Student Skin Fade,24.5,,14.7,Tollcross,19/09/2025,Friday
Friday 19th September,15:40,High School,20,,12,Tollcross,19/09/2025,Friday
Friday 19th September,16:10,High School,20,,12,Tollcross,19/09/2025,Friday
Friday 19th September,16:45,High School,20,,12,Tollcross,19/09/2025,Friday
Saturday 20th September,09:15,Gents,25,3,18,Tollcross,20/09/2025,Saturday
Saturday 20th September,09:40,Gents,25,,15,Tollcross,20/09/2025,Saturday
Saturday 20th September,10:00,Gents,25,,15,Tollcross,20/09/2025,Saturday
Saturday 20th September,10:20,Gents,25,,15,Tollcross,20/09/2025,Saturday
Saturday 20th September,11:55,Gents,25,,15,Tollcross,20/09/2025,Saturday
Saturday 20th September,12:25,Kids,17,3,13.2,Tollcross,20/09/2025,Saturday
Saturday 20th September,12:50,Skin Fade,27,3,19.2,Tollcross,20/09/2025,Saturday
Saturday 20th September,13:30,Student,23,,13.8,Tollcross,20/09/2025,Saturday
Saturday 20th September,14:00,Student,23,,13.8,Tollcross,20/09/2025,Saturday
Saturday 20th September,14:50,Clipper,18,2,12.8,Tollcross,20/09/2025,Saturday
Saturday 20th September,15:10,Gents,25,,15,Tollcross,20/09/2025,Saturday
Saturday 20th September,15:40,Gents,25,,15,Tollcross,20/09/2025,Saturday
Saturday 20th September,16:05,Student,23,,13.8,Tollcross,20/09/2025,Saturday
Tuesday 23rd September,09:00,None,0,,0,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,10:00,None,0,,0,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,11:00,None,0,,0,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,12:25,Gents,25,,15,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,12:45,Gents,25,,15,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,13:00,None,0,,0,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,14:30,Student + Beard Trim,33,,19.8,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,15:00,None,0,,0,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,16:20,Beard Trim,12,,7.2,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,16:55,Student Skin Fade,24.5,,14.7,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,17:15,High School,20,,12,Tollcross,23/09/2025,Tuesday
Tuesday 23rd September,17:45,Gents,25,,15,Tollcross,23/09/2025,Tuesday
Wednesday 24th September,09:00,None,0,,0,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,10:15,Student Skin Fade,24.5,,14.7,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,10:50,Gents,25,,15,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,11:40,Clipper,18,2,12.8,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,12:10,Gents,25,,15,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,12:30,Skin Fade,27,,16.2,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,13:00,Gents,25,,15,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,13:30,Student,23,,13.8,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,14:10,Clipper,18,,10.8,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,14:25,Clipper,18,,10.8,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,14:45,Gents,25,,15,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,15:10,Gents,25,,15,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,15:40,Student,23,,13.8,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,16:05,Clipper + Beard Trim,28,,16.8,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,17:15,Gents,25,,15,Tollcross,24/09/2025,Wednesday
Wednesday 24th September,17:50,Student,23,,13.8,Tollcross,24/09/2025,Wednesday
Thursday 25th September,13:25,Gents,25,,15,Tollcross,25/09/2025,Thursday
Thursday 25th September,14:00,Gents,25,,15,Tollcross,25/09/2025,Thursday
Thursday 25th September,15:10,Skin Fade,27,3,19.2,Tollcross,25/09/2025,Thursday
Thursday 25th September,15:55,Student,23,,13.8,Tollcross,25/09/2025,Thursday
Thursday 25th September,16:30,Gents,25,,15,Tollcross,25/09/2025,Thursday
Thursday 25th September,17:20,Gents,25,,15,Tollcross,25/09/2025,Thursday
Friday 26th September,09:00,None,0,,0,Tollcross,26/09/2025,Friday
Friday 26th September,10:30,Gents,25,,15,Tollcross,26/09/2025,Friday
Friday 26th September,11:00,None,0,,0,Tollcross,26/09/2025,Friday
Friday 26th September,12:00,None,0,,0,Tollcross,26/09/2025,Friday
Friday 26th September,13:30,Student,23,,13.8,Tollcross,26/09/2025,Friday
Friday 26th September,14:15,High School,20,,12,Tollcross,26/09/2025,Friday
Friday 26th September,14:55,Kids,17,,10.2,Tollcross,26/09/2025,Friday
Friday 26th September,15:00,None,0,,0,Tollcross,26/09/2025,Friday
Friday 26th September,16:00,Student,23,,13.8,Tollcross,26/09/2025,Friday
Friday 26th September,16:40,OAP,18,,10.8,Tollcross,26/09/2025,Friday
Friday 26th September,17:00,Gents,25,,15,Tollcross,26/09/2025,Friday
Saturday 27th September,09:00,None,0,,0,Tollcross,27/09/2025,Saturday
Saturday 27th September,10:30,Gents,25,,15,Tollcross,27/09/2025,Saturday
Saturday 27th September,11:30,Clipper,18,,10.8,Tollcross,27/09/2025,Saturday
Saturday 27th September,12:00,None,0,,0,Tollcross,27/09/2025,Saturday
Saturday 27th September,13:30,Gents,25,,15,Tollcross,27/09/2025,Saturday
Saturday 27th September,13:55,Kids,17,,10.2,Tollcross,27/09/2025,Saturday
Saturday 27th September,14:15,Gents,25,,15,Tollcross,27/09/2025,Saturday
Saturday 27th September,14:40,Gents + Beard Trim,35,,21,Tollcross,27/09/2025,Saturday
Saturday 27th September,15:40,Gents,25,,15,Tollcross,27/09/2025,Saturday
Saturday 27th September,16:10,Gents,25,,15,Tollcross,27/09/2025,Saturday
Tuesday 30th September,10:00,None,0,,0,Tollcross,30/09/2025,Tuesday
Tuesday 30th September,11:00,None,0,,0,Tollcross,30/09/2025,Tuesday
Tuesday 30th September,12:10,Clipper,18,,10.8,Tollcross,30/09/2025,Tuesday
Tuesday 30th September,13:00,Gents + Beard Trim,35,,21,Tollcross,30/09/2025,Tuesday
Tuesday 30th September,13:45,Student Skin Fade,24.5,,14.7,Tollcross,30/09/2025,Tuesday
Tuesday 30th September,14:15,Student,23,,13.8,Tollcross,30/09/2025,Tuesday
Tuesday 30th September,14:45,Student,23,,13.8,Tollcross,30/09/2025,Tuesday
Tuesday 30th September,15:30,Friend,20,,12,Tollcross,30/09/2025,Tuesday
Wednesday 1st October,09:00,Beard Trim,10,5,11,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,10:00,None,0,,0,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,11:00,None,0,,0,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,12:50,OAP,18,,10.8,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,13:00,None,0,,0,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,14:40,Student,23,,13.8,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,15:45,Skin Fade,27,,16.2,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,16:00,None,0,,15,Tollcross,01/10/2025,Wednesday
Wednesday 1st October,17:00,Clipper,18,1,11.8,Tollcross,01/10/2025,Wednesday
Friday 3rd October,10:25,Gents,25,,15,Tollcross,03/10/2025,Friday
Friday 3rd October,11:20,Skin Fade,27,,16.2,Tollcross,03/10/2025,Friday
Friday 3rd October,11:55,Gents,25,,15,Tollcross,03/10/2025,Friday
Friday 3rd October,12:30,Skin Fade,27,,16.2,Tollcross,03/10/2025,Friday
Friday 3rd October,13:15,Gents,25,,15,Tollcross,03/10/2025,Friday
Friday 3rd October,14:30,Gents,25,,15,Tollcross,03/10/2025,Friday
Friday 3rd October,14:55,High School,20,,12,Tollcross,03/10/2025,Friday
Friday 3rd October,15:45,Brother,0,,0,Tollcross,03/10/2025,Friday
Friday 3rd October,16:00,None,0,,0,Tollcross,03/10/2025,Friday
Friday 3rd October,17:00,None,0,,0,Tollcross,03/10/2025,Friday
Saturday 4th October,08:45,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,09:45,Gents,24,3,17.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,10:30,High School,19,,11.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,10:50,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,11:20,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,11:45,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,12:10,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,13:00,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,13:40,Gents,24,1,15.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,14:15,Beard Trim,10,,6,Marchmont,04/10/2025,Saturday
Saturday 4th October,14:30,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,15:30,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Saturday 4th October,16:30,Gents,24,,14.4,Marchmont,04/10/2025,Saturday
Friday 10th October,09:30,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,10:00,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,10:30,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,11:00,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,11:30,Student,23,,13.8,Tollcross,10/10/2025,Friday
Friday 10th October,12:00,Student,23,,13.8,Tollcross,10/10/2025,Friday
Friday 10th October,12:30,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,13:00,Skin Fade,27,,16.2,Tollcross,10/10/2025,Friday
Friday 10th October,13:30,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,13:50,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,14:15,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,14:40,Clipper,18,2,12.8,Tollcross,10/10/2025,Friday
Friday 10th October,14:50,Gents + Beard Trim,35,,21,Tollcross,10/10/2025,Friday
Friday 10th October,15:20,Gents,25,,15,Tollcross,10/10/2025,Friday
Friday 10th October,16:00,High School,20,,12,Tollcross,10/10/2025,Friday
Friday 10th October,16:30,Student,23,,13.8,Tollcross,10/10/2025,Friday
Friday 10th October,17:00,Student,23,,13.8,Tollcross,10/10/2025,Friday
Friday 10th October,17:30,Gents + Beard Trim,35,,21,Tollcross,10/10/2025,Friday
Saturday 11th October,10:40,Gents,25,5,20,Tollcross,11/10/2025,Saturday
Saturday 11th October,11:00,None,0,,0,Tollcross,11/10/2025,Saturday
Saturday 11th October,12:15,Beard Trim,12,,7.2,Tollcross,11/10/2025,Saturday
Saturday 11th October,13:15,High School,20,,12,Tollcross,11/10/2025,Saturday
Saturday 11th October,14:00,Gents,25,,15,Tollcross,11/10/2025,Saturday
Saturday 11th October,14:30,Gents,25,,15,Tollcross,11/10/2025,Saturday
Saturday 11th October,14:50,Gents,25,,15,Tollcross,11/10/2025,Saturday
Saturday 11th October,15:20,Gents,25,5,20,Tollcross,11/10/2025,Saturday
Saturday 11th October,16:00,Gents,25,,15,Tollcross,11/10/2025,Saturday
Saturday 11th October,16:30,Gents,25,,15,Tollcross,11/10/2025,Saturday
Thursday 16th October,09:00,None,0,,0,Tollcross,16/10/2025,Thursday
Thursday 16th October,10:00,None,0,,0,Tollcross,16/10/2025,Thursday
Thursday 16th October,11:00,None,0,,0,Tollcross,16/10/2025,Thursday
Thursday 16th October,12:10,High School,20,,12,Tollcross,16/10/2025,Thursday
Thursday 16th October,13:00,None,0,,0,Tollcross,16/10/2025,Thursday
Thursday 16th October,14:00,Skin Fade,27,,16.2,Tollcross,16/10/2025,Thursday
Thursday 16th October,14:30,Student Skin Fade,24.5,,14.7,Tollcross,16/10/2025,Thursday
Thursday 16th October,15:15,Gents,25,,15,Tollcross,16/10/2025,Thursday
Thursday 16th October,16:30,Student,23,,13.8,Tollcross,16/10/2025,Thursday
Friday 17th October,11:00,None,0,,0,Tollcross,17/10/2025,Friday
Friday 17th October,12:20,Gents,25,,15,Tollcross,17/10/2025,Friday
Friday 17th October,13:00,None,0,,0,Tollcross,17/10/2025,Friday
Friday 17th October,14:15,Gents + Beard Trim,35,5,26,Tollcross,17/10/2025,Friday
Friday 17th October,15:00,None,0,,0,Tollcross,17/10/2025,Friday
Friday 17th October,16:00,None,0,,0,Tollcross,17/10/2025,Friday
Friday 17th October,17:00,None,0,,0,Tollcross,17/10/2025,Friday
Saturday 18th October,08:30,None,0,,0,Marchmont,18/10/2025,Saturday
Saturday 18th October,09:00,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,09:30,Kids,16,,9.6,Marchmont,18/10/2025,Saturday
Saturday 18th October,10:30,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,11:00,Kids,16,,9.6,Marchmont,18/10/2025,Saturday
Saturday 18th October,11:30,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,12:00,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,12:30,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,13:00,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,14:15,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,15:50,Gents,24,,14.4,Marchmont,18/10/2025,Saturday
Saturday 18th October,16:00,None,0,,0,Marchmont,18/10/2025,Saturday